status,card_present_flag,bpay_biller_code,account,currency,long_lat,txn_description,merchant_id,merchant_code,first_name,balance,date,gender,age,merchant_suburb,merchant_state,extraction,amount,transaction_id,country,customer_id,merchant_long_lat,movement,month,day
posted,,0,ACC-588564840,AUD,151.27 -33.76,PAY/SALARY,,0.0,Isaiah,8342.11,2018-08-01,M,23,,,2018-08-01 11:00:00+00:00,3903.95,9ca281650e5d482d9e53f85e959baa66,Australia,CUS-1462656821,,credit,8,1
posted,,0,ACC-1650504218,AUD,145.01 -37.93,PAY/SALARY,,0.0,Marissa,2040.58,2018-08-01,F,23,,,2018-08-01 12:00:00+00:00,1626.48,1822eb0e1bbe4c9e95ebbb0fa2cc4323,Australia,CUS-2500783281,,credit,8,1
posted,,0,ACC-3326339947,AUD,151.18 -33.80,PAY/SALARY,,0.0,Eric,3158.51,2018-08-01,M,22,,,2018-08-01 12:00:00+00:00,983.36,bd62b1799a454cedbbb56364f7c40cbf,Australia,CUS-326006476,,credit,8,1
posted,,0,ACC-3541460373,AUD,145.00 -37.83,PAY/SALARY,,0.0,Jeffrey,2517.66,2018-08-01,M,24,,,2018-08-01 13:00:00+00:00,1408.08,0d95c7c932bb48e5b44c2637bdd3efe9,Australia,CUS-1433879684,,credit,8,1
posted,,0,ACC-2776252858,AUD,144.95 -37.76,PAY/SALARY,,0.0,Kristin,2271.79,2018-08-01,F,43,,,2018-08-01 13:00:00+00:00,1068.04,f50ccf1195214d14a0acbfcb5a265193,Australia,CUS-4123612273,,credit,8,1
posted,,0,ACC-1598451071,AUD,153.41 -27.95,PAY/SALARY,,0.0,Diana,1017.52,2018-08-01,F,26,,,2018-08-01 14:00:00+00:00,1013.67,a72c9dd8b4614a1982ff71f8b62677ad,Australia,CUS-2487424745,,credit,8,1
posted,,0,ACC-3485804958,AUD,138.52 -35.01,PAY/SALARY,,0.0,Jessica,16433.32,2018-08-01,F,34,,,2018-08-01 16:00:00+00:00,3903.73,cf378669537f46e4acee7321fa8accb1,Australia,CUS-1196156254,,credit,8,1
posted,,0,ACC-1973887809,AUD,115.78 -31.90,PAY/SALARY,,0.0,Antonio,1796.37,2018-08-01,M,26,,,2018-08-01 16:00:00+00:00,1098.91,00e97a9be9654405bb44f96e748b3ace,Australia,CUS-1646621553,,credit,8,1
posted,,0,ACC-4059612845,AUD,130.98 -12.49,PAY/SALARY,,0.0,Jonathan,50383.16,2018-08-01,M,38,,,2018-08-01 16:00:00+00:00,2647.38,794ef124f66645e68d0707ef0a544b50,Australia,CUS-495599312,,credit,8,1
posted,,0,ACC-819621312,AUD,145.04 -37.85,PAY/SALARY,,0.0,Michele,1244.45,2018-08-01,F,30,,,2018-08-01 17:00:00+00:00,1158.15,148a346f380948cfa1ee8e5166b56a6e,Australia,CUS-1271030853,,credit,8,1
posted,,0,ACC-2920611728,AUD,144.96 -37.76,PAY/SALARY,,0.0,Tyler,1969.05,2018-08-01,M,69,,,2018-08-01 17:00:00+00:00,1043.12,360a8968ef944c9e91ee1f72a9759aec,Australia,CUS-1388323263,,credit,8,1
posted,,0,ACC-1799207998,AUD,150.68 -33.79,PAY/SALARY,,0.0,Susan,1403.55,2018-08-01,F,20,,,2018-08-01 17:00:00+00:00,1395.49,9767953f8ae94826aa145d6cac0be371,Australia,CUS-164374203,,credit,8,1
posted,,0,ACC-1349834573,AUD,145.17 -37.84,PAY/SALARY,,0.0,Matthew,7094.77,2018-08-01,M,39,,,2018-08-01 17:00:00+00:00,3071.14,8c993ac0426d4f66a0b6322b4e56507c,Australia,CUS-1790886359,,credit,8,1
posted,,0,ACC-4163822186,AUD,149.03 -34.97,PAY/SALARY,,0.0,Karen,3907.05,2018-08-02,F,26,,,2018-08-02 11:00:00+00:00,920.71,650e693a72da4fa3a83a5f89ffd38a26,Australia,CUS-2630892467,,credit,8,2
posted,,0,ACC-721712940,AUD,145.09 -37.82,PAY/SALARY,,0.0,Andrew,50526.26,2018-08-02,M,78,,,2018-08-02 12:00:00+00:00,782.42,087234ecb6994edbb66d56965387b885,Australia,CUS-1646183815,,credit,8,2
posted,,0,ACC-2107684084,AUD,145.03 -37.88,PAY/SALARY,,0.0,Richard,2511.5,2018-08-02,M,22,,,2018-08-02 13:00:00+00:00,2218.73,f9fad2f5968d4d4398a23a5ac4410ec9,Australia,CUS-2283904812,,credit,8,2
